hospital,ccn,cbsa,participation,start_date,end_date
HI-DESERT MEDICAL CENTER,050279,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
STANFORD HEALTH CARE TRI-VALLEY,050283,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
AHMC SETON MEDICAL CENTER,050289,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SUTTER SANTA ROSA REGIONAL HOSPITAL,050291,Santa Rosa–Petaluma,Mandatory,01/01/2026,12/31/2030
RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,050292,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
MERCY HOSPITAL,050295,Bakersfield–Delano,Mandatory,01/01/2026,12/31/2030
BARSTOW COMMUNITY HOSPITAL,050298,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
PROVIDENCE ST MARY MEDICAL CENTER,050300,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,050305,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
EL CAMINO HEALTH,050308,San Jose–Sunnyvale–Santa Clara,Mandatory,01/01/2026,12/31/2030
KERN MEDICAL CENTER,050315,Bakersfield–Delano,Mandatory,01/01/2026,12/31/2030
HIGHLAND HOSPITAL,050320,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,050324,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
LOMA LINDA UNIVERSITY MEDICAL CENTER,050327,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
CORONA REGIONAL MEDICAL CENTER,050329,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
MARINHEALTH MEDICAL CENTER,050360,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
GOOD SAMARITAN HOSPITAL,050380,San Jose–Sunnyvale–Santa Clara,Mandatory,01/01/2026,12/31/2030
HEMET GLOBAL MEDICAL CENTER,050390,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
CHINESE HOSPITAL,050407,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SUTTER COAST HOSPITAL,050417,Crescent City,Mandatory,01/01/2026,12/31/2030
SCRIPPS GREEN HOSPITAL,050424,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
