ccn,hospital,system_id,system_label
050534,JOHN F KENNEDY MEMORIAL HOSPITAL,independent,Independent / other
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,kaiser_permanente,Kaiser Permanente
050573,EISENHOWER MEDICAL CENTER,independent,Independent / other
050586,CHINO VALLEY MEDICAL CENTER,independent,Independent / other
050604,KAISER FOUNDATION HOSPITAL-SAN JOSE,kaiser_permanente,Kaiser Permanente
050608,ADVENTIST HEALTH DELANO,adventist_health,Adventist Health
050625,CEDARS-SINAI MEDICAL CENTER,independent,Independent / other
050633,ADVENTIST HEALTH TWIN CITIES,adventist_health,Adventist Health
050636,PALOMAR MEDICAL CENTER POWAY,palomar_health,Palomar Health
050668,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,independent,Independent / other
050684,MENIFEE GLOBAL MEDICAL CENTER,independent,Independent / other
050686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",kaiser_permanente,Kaiser Permanente
050689,SAN RAMON REGIONAL MEDICAL CENTER,independent,Independent / other
050690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,kaiser_permanente,Kaiser Permanente
050701,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL,independent,Independent / other
050709,DESERT VALLEY HOSPITAL,independent,Independent / other
050758,MONTCLAIR HOSPITAL MEDICAL CENTER,independent,Independent / other
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,kaiser_permanente,Kaiser Permanente
050765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,kaiser_permanente,Kaiser Permanente
050770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,loma_linda_university_health,Loma Linda University Health
050775,TEMECULA VALLEY HOSPITAL,independent,Independent / other
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,kaiser_permanente,Kaiser Permanente
050778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,loma_linda_university_health,Loma Linda University Health
050855,KAISER FOUNDATION HOSPITAL - SAN MARCOS,kaiser_permanente,Kaiser Permanente
