"measure","condition","cohort","scope_err","scope_above","scope_n","national_err","national_above","national_n","gap"
"READM-30-HIP-KNEE-HRRP","Hip/knee replacement","TEAM surgical",0.979616981132076,49.0566037735849,53,1.00398541810643,47.892190739461,1447,-0.0243684369743516
"READM-30-CABG-HRRP","CABG","TEAM surgical",0.993139393939394,42.4242424242424,33,1.00178906605923,49.8861047835991,878,-0.00864967211983148
"READM-30-AMI-HRRP","Heart attack (AMI)","Medical",1.00838867924528,56.6037735849057,53,1.00175541474654,49.6543778801843,1736,0.00663326449873924
"READM-30-HF-HRRP","Heart failure","Medical",1.00565869565217,54.3478260869565,92,1.00143925982449,48.9126287676459,2621,0.00421943582767947
"READM-30-PN-HRRP","Pneumonia","Medical",1.01398681318681,57.1428571428571,91,1.00148611418048,46.8139963167587,2715,0.0125006990063345
"READM-30-COPD-HRRP","COPD","Medical",1.00175789473684,48.6842105263158,76,1.00113310374516,47.2234179939733,2323,0.000624790991684998
